msgid,msgstr
"[CAMEL](agent_simulations/camel_role_playing.ipynb): an implementation of the CAMEL (Communicative Agents for “Mind” Exploration of Large Scale Language Model Society) paper, where two agents communicate with each other.",[CAMEL](agent_simulations/camel_role_playing.ipynb):CAMEL（用于大规模语言模型社会“思维”探索的通信代理）论文的一个实现，其中两个代理相互通信。
[Two Player D&D](agent_simulations/two_player_dnd.ipynb): an example of how to use a generic simulator for two agents to implement a variant of the popular Dungeons & Dragons role playing game.,[Two Player D&D](agent_simulations/two_player_dnd.ipynb)：一个示例，说明如何为两个代理使用通用模拟器来实现流行的龙与地下城角色扮演游戏的变体。
Simulations with Multiple Agents,多智能体仿真
"[Multi-Player D&D](agent_simulations/multi_player_dnd.ipynb): an example of how to use a generic dialogue simulator for multiple dialogue agents with a custom speaker-ordering, illustrated with a variant of the popular Dungeons & Dragons role playing game.",[Multi-Player D&D](agent_simulations/multi_player_dnd.ipynb)：一个示例，说明了如何使用通用对话模拟器为具有自定义扬声器排序的多个对话代理进行对话，并以流行的龙与地下城角色扮演游戏的变体进行说明。
[Decentralized Speaker Selection](agent_simulations/multiagent_bidding.ipynb): an example of how to implement a multi-agent dialogue without a fixed schedule for who speaks when. Instead the agents decide for themselves who speaks by outputting bids to speak. This example shows how to do this in the context of a fictitious presidential debate.,[分散式发言人选择](agent_simulations/multiagent_bidding.ipynb）：一个如何在没有固定时间表的情况下实现多代理对话的例子。相反，代理通过输出发言出价来自己决定谁发言。这个例子展示了如何在一个虚构的总统辩论中做到这一点。
"[Generative Agents](agent_simulations/characters.ipynb): This notebook implements a generative agent based on the paper [Generative Agents: Interactive Simulacra of Human Behavior](https://arxiv.org/abs/2304.03442) by Park, et. al.",[Generative Agents](agent_simulations/characters.ipynb)：本笔记本基于Park等人的论文[Generative Agents：Interactive Simulacra of Human Behavior](https://arxiv.org/abs/2304.03442）实现了一个generative agent。艾尔。
CAMEL Role-Playing Autonomous Cooperative Agents,CAMEL角色扮演自主协作智能体
"This is a langchain implementation of paper: ""CAMEL: Communicative Agents for “Mind” Exploration of Large Scale Language Model Society"".",这是一篇论文的langchain实现：“骆驼：大规模语言模型社会的“思维”探索的交流代理”。
Overview:,概述：
"The rapid advancement of conversational and chat-based language models has led to remarkable progress in complex task-solving. However, their success heavily relies on human input to guide the conversation, which can be challenging and time-consuming. This paper explores the potential of building scalable techniques to facilitate autonomous cooperation among communicative agents and provide insight into their ""cognitive"" processes. To address the challenges of achieving autonomous cooperation, we propose a novel communicative agent framework named role-playing. Our approach involves using inception prompting to guide chat agents toward task completion while maintaining consistency with human intentions. We showcase how role-playing can be used to generate conversational data for studying the behaviors and capabilities of chat agents, providing a valuable resource for investigating conversational language models. Our contributions include introducing a novel communicative agent framework, offering a scalable approach for studying the cooperative behaviors and capabilities of multi-agent systems, and open-sourcing our library to support research on communicative agents and beyond.",会话和基于聊天的语言模型的快速发展导致了复杂任务解决的显著进步。然而，他们的成功在很大程度上依赖于人工输入来引导对话，这可能具有挑战性且耗时。本文探讨了建立可扩展技术的潜力，以促进交流代理之间的自主合作，并提供对其“认知”过程的洞察。为了解决实现自主合作的挑战，我们提出了一种新的通信代理框架，名为角色扮演。我们的方法包括使用初始提示来引导聊天代理完成任务，同时保持与人类意图的一致性。我们展示了如何使用角色扮演来生成用于研究聊天代理的行为和能力的会话数据，为研究会话语言模型提供了有价值的资源。我们的贡献包括引入一种新的通信代理框架，为研究多代理系统的协作行为和能力提供一种可扩展的方法，以及开源我们的库以支持通信代理及其他方面的研究。
The original implementation: https://github.com/lightaime/camel,原始实现：https://github.com/lightaime/camel
Project website: https://www.camel-ai.org/,项目网址：https://www.camel-ai.org/
Arxiv paper: https://arxiv.org/abs/2303.17760,Arxiv文件：https://arxiv.org/abs/2303.17760
Import LangChain related modules,导入LangChain相关模块
Define a CAMEL agent helper class,定义CAMEL代理助手类
Setup OpenAI API key and roles and task for role-playing,为角色扮演设置OpenAI API密钥、角色和任务
Create a task specify agent for brainstorming and get the specified task,创建任务指定头脑风暴代理并获取指定任务
Create inception prompts for AI assistant and AI user for role-playing,为AI助手和AI用户创建角色扮演的初始提示
Create a helper helper to get system messages for AI assistant and AI user from role names and the task,创建一个助手助手，从角色名和任务中获取AI助手和AI用户的系统消息
Create AI assistant agent and AI user agent from obtained system messages,根据获取的系统消息创建AI助理代理和AI用户代理
Start role-playing session to solve the task!,开始角色扮演会话来解决任务！
Generative Agents in LangChain,LangChain中的生成代理
"This notebook implements a generative agent based on the paper [Generative Agents: Interactive Simulacra of Human Behavior](https://arxiv.org/abs/2304.03442) by Park, et. al.",本笔记本基于帕克等人的论文【生成代理：人类行为的交互式拟像】（https：//arxiv.org/abs/2304.03442）实现了一个生成代理。艾尔。
"In it, we leverage a time-weighted Memory object backed by a LangChain Retriever.",在其中，我们利用了一个由LangChain检索器支持的时间加权内存对象。
Generative Agent Memory Components,生成代理存储器组件
This tutorial highlights the memory of generative agents and its impact on their behavior. The memory varies from standard LangChain Chat memory in two aspects:,本教程重点介绍了生殖代理的记忆及其对其行为的影响。该存储器在两个方面不同于标准的LangChain聊天存储器：
**Memory Formation**,**记忆形成**
"Generative Agents have extended memories, stored in a single stream:",生成代理具有扩展的存储器，存储在单个流中：
"Observations - from dialogues or interactions with the virtual world, about self or others",观察——来自与虚拟世界的对话或互动，关于自我或他人
Reflections - resurfaced and summarized core memories,反思-重新浮现和总结核心记忆
**Memory Recall**,**回忆**
"Memories are retrieved using a weighted sum of salience, recency, and importance.",使用显著性、新近性和重要性的加权总和来检索记忆。
"You can review the definitions of the `GenerativeAgent` and `GenerativeAgentMemory` in the [reference documentation](""../../reference/modules/experimental"") for the following imports, focusing on `add_memory` and `summarize_related_memories` methods.",您可以在[参考文档]（“../../reference/modules/experimental”）中查看有关以下导入的“GenerativeAgent”和“GenerativeAgentMemory”的定义，重点是“add_memory”和“summarize_related_memories”方法。
Memory Lifecycle,内存生命周期
Summarizing the key methods in the above: `add_memory` and `summarize_related_memories`.,总结上面的关键方法：“添加_memory”和“总结_related_memories”。
"When an agent makes an observation, it stores the memory:",当代理进行观察时，它会存储内存：
"Language model scores the memory's importance (1 for mundane, 10 for poignant)",语言模型给记忆的重要性打分（1分表示平凡，10分表示辛酸）
"Observation and importance are stored within a document by TimeWeightedVectorStoreRetriever, with a `last_accessed_time`.",观察和重要性由TimeWeightedVectorStoreRetriever存储在文档中，具有“上次访问时间”。
When an agent responds to an observation:,当代理对观察结果做出响应时：
"Generates query(s) for retriever, which fetches documents based on salience, recency, and importance.",为检索器生成查询，检索器根据显著性、新近性和重要性获取文档。
Summarizes the retrieved information,汇总检索到的信息
Updates the `last_accessed_time` for the used documents.,更新所用文档的“上次访问时间”。
Create a Generative Character,创造生成性角色
"Now that we've walked through the definition, we will create two characters named ""Tommie"" and ""Eve"".",现在我们已经完成了定义，我们将创建两个名为“Tommie”和“Eve”的角色。
Pre-Interview with Character,人物面试前
"Before sending our character on their way, let's ask them a few questions.",在送我们的角色上路之前，让我们问他们几个问题。
Step through the day's observations.,一步一步地观察一天。
Interview after the day,一天后的面谈
Adding Multiple Characters,添加多个字符
Let's add a second character to have a conversation with Tommie. Feel free to configure different traits.,让我们添加第二个角色来与Tommie对话。随意配置不同的特征。
Pre-conversation interviews,会话前访谈
"Let's ""Interview"" Eve before she speaks with Tommie.",让我们在伊芙和汤米说话之前“采访”她。
Dialogue between Generative Agents,生成主体之间的对话
"Generative agents are much more complex when they interact with a virtual environment or with each other. Below, we run a simple conversation between Tommie and Eve.",当生成代理与虚拟环境或彼此交互时，它们要复杂得多。下面，我们在汤米和伊芙之间进行一段简单的对话。
Let's interview our agents after their conversation,在我们的代理人谈话之后，让我们采访他们
"Since the generative agents retain their memories from the day, we can ask them about their plans, conversations, and other memoreis.",由于生殖代理人保留了他们当天的记忆，我们可以询问他们的计划、谈话和其他记忆。
Multi-Player Dungeons & Dragons,多人龙与地下城
This notebook shows how the `DialogueAgent` and `DialogueSimulator` class make it easy to extend the [Two-Player Dungeons & Dragons example](https://python.langchain.com/en/latest/use_cases/agent_simulations/two_player_dnd.html) to multiple players.,本笔记本展示了“DialogueAgent”和“DialogueSimulator”类如何轻松地将[双玩家龙与地下城示例]（https://python.langchain.com/en/latest/use_cases/agent_simulations/two_player_dnd.html）扩展到多个玩家。
The main difference between simulating two players and multiple players is in revising the schedule for when each agent speaks,模拟两个玩家和多个玩家的主要区别在于修改每个代理发言的时间表
"To this end, we augment `DialogueSimulator` to take in a custom function that determines the schedule of which agent speaks. In the example below, each character speaks in round-robin fashion, with the storyteller interleaved between each player.",为此，我们增强了“DialogueSimulator”，以引入一个自定义函数来确定哪个代理说话的时间表。在下面的例子中，每个角色都以循环的方式说话，讲故事的人在每个玩家之间穿插。
`DialogueAgent` class,“对话代理”类
The `DialogueAgent` class is a simple wrapper around the `ChatOpenAI` model that stores the message history from the `dialogue_agent`'s point of view by simply concatenating the messages as strings.,“DialogueAgent”类是围绕“ChatOpenAI”模型的简单包装器，它通过简单地将消息连接为字符串来存储来自“dialogue_agent”的消息历史。
It exposes two methods:,它公开了两种方法：
`send()`: applies the chatmodel to the message history and returns the message string,`send()`:将chatmodel应用于消息历史记录并返回消息字符串
"`receive(name, message)`: adds the `message` spoken by `name` to message history",“receive（name，message）”:将“name”所说的“message”添加到消息历史记录中
`DialogueSimulator` class,“对话模拟程序”类
"The `DialogueSimulator` class takes a list of agents. At each step, it performs the following:",“DialogueSimulator”类接受代理列表。在每个步骤中，它执行以下操作：
Select the next speaker,选择下一个演讲者
Calls the next speaker to send a message,呼叫下一个发言者发送消息
Broadcasts the message to all other agents,将消息广播到所有其他座席
"Update the step counter. The selection of the next speaker can be implemented as any function, but in this case we simply loop through the agents.",更新步进计数器。下一个说话者的选择可以实现为任何函数，但在这种情况下，我们只需遍历代理。
Define roles and quest,定义角色和任务
Ask an LLM to add detail to the game description,请LLM为游戏描述添加细节
Use an LLM to create an elaborate quest description,使用LLM创建详细的任务描述
Main Loop,主回路
Multi-agent decentralized speaker selection,多agent分散式说话人选择
This notebook showcases how to implement a multi-agent simulation without a fixed schedule for who speaks when. Instead the agents decide for themselves who speaks. We can implement this by having each agent bid to speak. Whichever agent's bid is the highest gets to speak.,本笔记本展示了如何在没有固定时间表的情况下实现多代理模拟。相反，代理人自己决定谁说话。我们可以通过让每个代理竞标发言来实现这一点。谁的出价最高，谁就可以发言。
We will show how to do this in the example below that showcases a fictitious presidential debate.,我们将在下面的例子中展示如何做到这一点，这个例子展示了一个虚构的总统辩论。
`DialogueAgent` and `DialogueSimulator` classes,“DialogueAgent”和“DialogueSimulator”类
We will use the same `DialogueAgent` and `DialogueSimulator` classes defined in [Multi-Player Dungeons & Dragons](https://python.langchain.com/en/latest/use_cases/agent_simulations/multi_player_dnd.html).,我们将使用[多人龙与地下城]中定义的相同的“DialogueAgent”和“DialogueSimulator”类（https://python.langchain.com/en/latest/use_cases/agent_simulations/multi_player_dnd.html）。
`BiddingDialogueAgent` class,“BiddingDialogueAgent”类
We define a subclass of `DialogueAgent` that has a `bid()` method that produces a bid given the message history and the most recent message.,我们定义了“DialogueAgent”的一个子类，它有一个“bid（）”方法，该方法根据消息历史和最近的消息生成一个bid。
Define participants and debate topic,定义参与者和辩论主题
Generate system messages,生成系统消息
Output parser for bids,投标输出解析器
"We ask the agents to output a bid to speak. But since the agents are LLMs that output strings, we need to",我们要求代理输出一个出价发言。但是由于代理是输出字符串的LLM，我们需要
define a format they will produce their outputs in,定义它们将产生输出的格式
parse their outputs,解析它们的输出
We can subclass the [RegexParser](https://github.com/hwchase17/langchain/blob/master/langchain/output_parsers/regex.py) to implement our own custom output parser for bids.,我们可以对[RegexParser]（https://github.com/hwchase 17/langchain/blob/master/langchain/output_parsers/regex.py）进行子类化，以实现我们自己的用于投标的自定义输出解析器。
Generate bidding system message,生成投标系统消息
This is inspired by the prompt used in [Generative Agents](https://arxiv.org/pdf/2304.03442.pdf) for using an LLM to determine the importance of memories. This will use the formatting instructions from our `BidOutputParser`.,这是受【生成代理】（https：//arxiv.org/pdf/2304.03442.pdf）中使用的提示的启发，该提示使用LLM来确定记忆的重要性。这将使用我们的“BidOutputParser”中的格式化指令。
Use an LLM to create an elaborate on debate topic,使用LLM创建一个详细的辩论主题
Define the speaker selection function,定义扬声器选择功能
Lastly we will define a speaker selection function `select_next_speaker` that takes each agent's bid and selects the agent with the highest bid (with ties broken randomly).,最后，我们将定义一个发言人选择函数“select_next_speaker”，它接受每个代理的出价，并选择出价最高的代理（随机打破平局）。
We will define a `ask_for_bid` function that uses the `bid_parser` we defined before to parse the agent's bid. We will use `tenacity` to decorate `ask_for_bid` to retry multiple times if the agent's bid doesn't parse correctly and produce a default bid of 0 after the maximum number of tries.,我们将定义一个“ask_for_bid”函数，该函数使用我们之前定义的“bid_parser”来解析代理的出价。我们将使用“坚韧”来修饰“ask_for_bid”，以便在代理的出价没有正确解析并在最大尝试次数后产生默认出价0的情况下重试多次。
Two-Player Dungeons & Dragons,双人龙与地下城
"In this notebook, we show how we can use concepts from [CAMEL](https://www.camel-ai.org/) to simulate a role-playing game with a protagonist and a dungeon master. To simulate this game, we create an `DialogueSimulator` class that coordinates the dialogue between the two agents.",在本笔记本中，我们将展示如何使用[CAMEL]（https：//www.camel-ai.org/）中的概念来模拟一个有主角和地下城主的角色扮演游戏。为了模拟这个游戏，我们创建了一个“DialogueSimulator”类来协调两个代理之间的对话。
Protagonist and dungeon master system messages,主角和地下城主系统消息
BabyAGI User Guide,BabyAGI用户指南
This notebook demonstrates how to implement [BabyAGI](https://github.com/yoheinakajima/babyagi/tree/main) by [Yohei Nakajima](https://twitter.com/yoheinakajima). BabyAGI is an AI agent that can generate and pretend to execute tasks based on a given objective.,本笔记本演示了如何通过[Yohei Nakajima](https://twitter.com/yoheinakajima）实现[BabyAGI](https://github.com/yoheinakajima/BabyAGI/tree/main）。BabyAGI是一个人工智能代理，可以根据给定的目标生成并假装执行任务。
This guide will help you understand the components to create your own recursive agents.,本指南将帮助您理解创建自己的递归代理的组件。
"Although BabyAGI uses specific vectorstores/model providers (Pinecone, OpenAI), one of the benefits of implementing it with LangChain is that you can easily swap those out for different options. In this implementation we use a FAISS vectorstore (because it runs locally and is free).",尽管BabyAGI使用特定的向量存储/模型提供者（Pinecone，OpenAI），但是用LangChain实现它的一个好处是，您可以很容易地将它们换成不同的选项。在这个实现中，我们使用FAISS vectorstore（因为它在本地运行并且是免费的）。
Install and Import Required Modules,安装并导入所需模块
Connect to the Vector Store,连接到矢量存储
"Depending on what vectorstore you use, this step may look different.",根据您使用的vectorstore，这一步可能会有所不同。
Define the Chains,定义链
BabyAGI relies on three LLM chains:,BabyAGI依赖于三个LLM链：
Task creation chain to select new tasks to add to the list,任务创建链，用于选择要添加到列表中的新任务
Task prioritization chain to re-prioritize tasks,任务优先级链，用于重新确定任务的优先级
Execution Chain to execute the tasks,执行任务的执行链
Define the BabyAGI Controller,定义BabyAGI控制器
BabyAGI composes the chains defined above in a (potentially-)infinite loop.,BabyAGI在一个（潜在的）无限循环中组成了上面定义的链。
Run the BabyAGI,运行BabyAGI
Now it's time to create the BabyAGI controller and watch it try to accomplish your objective.,现在是时候创建BabyAGI控制器，并观看它尝试完成您的目标。
BabyAGI with Tools,带工具的BabyAGI
"This notebook builds on top of [baby agi](baby_agi.ipynb), but shows how you can swap out the execution chain. The previous execution chain was just an LLM which made stuff up. By swapping it out with an agent that has access to tools, we can hopefully get real reliable information",本笔记本建立在[baby agi]（baby_agi.ipynb）之上，但展示了如何交换执行链。以前的执行链只是一个编造东西的LLM。通过与能够使用工具的代理交换，我们有希望获得真正可靠的信息
"NOTE: in this notebook, the Execution chain will now be an agent.",注意：在本笔记本中，执行链现在将是一个代理。
Custom Agent with PlugIn Retrieval,具有插件检索功能的自定义代理
This notebook combines two concepts in order to build a custom agent that can interact with AI Plugins:,这款笔记本结合了两个概念，以构建一个可以与AI插件交互的自定义代理：
"[Custom Agent with Retrieval](../../modules/agents/agents/custom_agent_with_plugin_retrieval.ipynb): This introduces the concept of retrieving many tools, which is useful when trying to work with arbitrarily many plugins.",[Custom Agent with Retrieval](../../modules/agents/agents/custom_agent_with_plugin_retrieval.ipynb)：这引入了检索许多工具的概念，这在尝试使用任意多个插件时非常有用。
"[Natural Language API Chains](../../modules/chains/examples/openapi.ipynb): This creates Natural Language wrappers around OpenAPI endpoints. This is useful because (1) plugins use OpenAPI endpoints under the hood, (2) wrapping them in an NLAChain allows the router agent to call it more easily.",[自然语言API链]（../../modules/Chains/examples/openapi.ipynb)：这将围绕OpenAPI端点创建自然语言包装器。这很有用，因为（1）插件在幕后使用OpenAPI端点，（2）将它们包装在NLAChain中允许路由器代理更容易地调用它。
"The novel idea introduced in this notebook is the idea of using retrieval to select not the tools explicitly, but the set of OpenAPI specs to use. We can then generate tools from those OpenAPI specs. The use case for this is when trying to get agents to use plugins. It may be more efficient to choose plugins first, then the endpoints, rather than the endpoints directly. This is because the plugins may contain more useful information for selection.",本笔记本中介绍的新颖想法是使用检索来选择要使用的OpenAPI规范集，而不是显式地选择工具。然后我们可以从这些OpenAPI规范中生成工具。这种情况的用例是当试图让代理使用插件时。先选择插件，再选择端点，可能比直接选择端点更有效率。这是因为插件可能包含更多有用的信息供选择。
Set up environment,设置环境
"Do necessary imports, etc.",做必要的进口等。
Setup LLM,安装LLM
Set up plugins,设置插件
Load and index plugins,加载和索引插件
Tool Retriever,工具回收器
"We will use a vectorstore to create embeddings for each tool description. Then, for an incoming query we can create embeddings for that query and do a similarity search for relevant tools.",我们将使用vectorstore为每个工具描述创建嵌入。然后，对于传入的查询，我们可以为该查询创建嵌入，并对相关工具进行相似性搜索。
We can now test this retriever to see if it seems to work.,我们现在可以测试这只寻回犬，看看它是否能工作。
Prompt Template,提示模板
"The prompt template is pretty standard, because we're not actually changing that much logic in the actual prompt template, but rather we are just changing how retrieval is done.",提示模板非常标准，因为我们实际上并没有改变实际提示模板中的太多逻辑，而是改变了检索的方式。
"The custom prompt template now has the concept of a tools_getter, which we call on the input to select the tools to use",自定义提示模板现在有了tools_getter的概念，我们在输入中调用它来选择要使用的工具
Output Parser,输出解析器
"The output parser is unchanged from the previous notebook, since we are not changing anything about the output format.",输出解析器与上一个笔记本没有任何变化，因为我们没有改变输出格式。
"Set up LLM, stop sequence, and the agent",设置LLM、停止序列和代理
Also the same as the previous notebook,也和之前的笔记本一样
Use the Agent,使用代理
Now we can use it!,现在我们可以用它了！
Plug-and-Plai,即插即用
"This notebook builds upon the idea of [tool retrieval](custom_agent_with_plugin_retrieval.html), but pulls all tools from `plugnplai` - a directory of AI Plugins.",这个笔记本基于[工具检索]（custom_agent_with_plugin_retrieval.html）的思想，但是从“plugnplai”-一个人工智能插件目录中提取所有工具。
Install plugnplai lib to get a list of active plugins from https://plugplai.com directory,安装plugnplai库以从https://plugplai.com目录获取活动插件的列表
SalesGPT - Your Context-Aware AI Sales Assistant,SalesGPT-您的上下文感知人工智能销售助理
This notebook demonstrates an implementation of a **Context-Aware** AI Sales agent.,本笔记本演示了**上下文感知**AI销售代理的实现。
This notebook was originally published at [filipmichalsky/SalesGPT](https://github.com/filip-michalsky/SalesGPT) by [@FilipMichalsky](https://twitter.com/FilipMichalsky).,本笔记本最初发表于【filipmichalsky/SalesGPT】（https：//github.com/filip-michalsky/SalesGPT）作者【@filipmichalsky】（https：//twitter.com/filipmichalsky）。
"SalesGPT is context-aware, which means it can understand what section of a sales conversation it is in and act accordingly.",SalesGPT是上下文感知的，这意味着它可以了解自己处于销售对话的哪个部分，并采取相应的行动。
"As such, this agent can have a natural sales conversation with a prospect and behaves based on the conversation stage. Hence, this notebook demonstrates how we can use AI to automate sales development representatives activites, such as outbound sales calls.",因此，该代理可以与潜在客户进行自然的销售对话，并根据对话阶段进行行为。因此，这本笔记本展示了我们如何使用人工智能来自动化销售开发代表的活动，如对外销售电话。
We leverage the [`langchain`](https://github.com/hwchase17/langchain) library in this implementation and are inspired by [BabyAGI](https://github.com/yoheinakajima/babyagi) architecture .,我们在这个实现中利用了【`langchain`】（https：//github.com/hwchase 17/langchain）库，并受到了【BabyAGI】（https：//github.com/yoheinakajima/BabyAGI）架构的启发。
Import Libraries and Set Up Your Environment,导入库并设置环境
SalesGPT architecture,SalesGPT体系结构
Seed the SalesGPT agent,设置SalesGPT代理的种子
Run Sales Agent,运行销售代理
Run Sales Stage Recognition Agent to recognize which stage is the sales agent at and adjust their behaviour accordingly.,运行销售阶段识别代理以识别销售代理处于哪个阶段，并相应地调整他们的行为。
Here is the schematic of the architecture:,以下是架构示意图：
Architecture diagram,体系结构图
Sales conversation stages.,销售对话阶段。
The agent employs an assistant who keeps it in check as in what stage of the conversation it is in. These stages were generated by ChatGPT and can be easily modified to fit other use cases or modes of conversation.,代理雇佣一名助理来检查它处于对话的哪个阶段。这些阶段是由ChatGPT生成的，可以很容易地修改以适应其他用例或对话模式。
Introduction: Start the conversation by introducing yourself and your company. Be polite and respectful while keeping the tone of the conversation professional.,介绍：从介绍你自己和你的公司开始对话。保持礼貌和尊重，同时保持专业的谈话语气。
Qualification: Qualify the prospect by confirming if they are the right person to talk to regarding your product/service. Ensure that they have the authority to make purchasing decisions.,资格：通过确认潜在客户是否是谈论你的产品/服务的合适人选来确定他们的资格。确保他们有权做出购买决定。
Value proposition: Briefly explain how your product/service can benefit the prospect. Focus on the unique selling points and value proposition of your product/service that sets it apart from competitors.,价值主张：简要解释你的产品/服务如何让潜在客户受益。专注于你的产品/服务的独特卖点和价值主张，使其从竞争对手中脱颖而出。
Needs analysis: Ask open-ended questions to uncover the prospect's needs and pain points. Listen carefully to their responses and take notes.,需求分析：提出开放式问题，发现潜在客户的需求和痛点。仔细听他们的回答并做笔记。
"Solution presentation: Based on the prospect's needs, present your product/service as the solution that can address their pain points.",解决方案演示：根据潜在客户的需求，将您的产品/服务演示为能够解决他们棘手问题的解决方案。
Objection handling: Address any objections that the prospect may have regarding your product/service. Be prepared to provide evidence or testimonials to support your claims.,异议处理：解决潜在客户对您的产品/服务的任何异议。准备好提供证据或证明来支持你的主张。
"Close: Ask for the sale by proposing a next step. This could be a demo, a trial or a meeting with decision-makers. Ensure to summarize what has been discussed and reiterate the benefits.",成交：通过提出下一步来要求销售。这可能是演示、试用或与决策者的会面。确保总结讨论的内容并重申好处。
Set up the SalesGPT Controller with the Sales Agent and Stage Analyzer,使用销售代理和阶段分析器设置SalesGPT控制器
Set up the AI Sales Agent and start the conversation,设置AI销售代理并开始对话
Set up the agent,设置代理
Run the agent,运行代理
Wikibase Agent,Wikibase代理
"This notebook demonstrates a very simple wikibase agent that uses sparql generation. Although this code is intended to work against any wikibase instance, we use http://wikidata.org for testing.",本笔记本演示了一个非常简单的wikibase代理，它使用sparql生成。尽管这段代码的目的是针对任何wikibase实例，但我们使用http://wikidata.org进行测试。
"If you are interested in wikibases and sparql, please consider helping to improve this agent. Look [here](https://github.com/donaldziff/langchain-wikibase) for more details and open questions.",如果您对wikibases和sparql感兴趣，请考虑帮助改进这个代理。查看【此处】（https：//github.com/donaldziff/langchain-wikibase）了解更多详细信息和开放问题。
Preliminaries,预赛
API keys and other secrats,API密钥和其他秘密
"We use an `.ini` file, like this:",我们使用“.ini”文件，如下所示：
OpenAI API Key,OpenAI API密钥
An OpenAI API key is required unless you modify the code below to use another LLM provider.,除非您修改下面的代码以使用另一个LLM提供者，否则需要OpenAI API密钥。
Wikidata user-agent header,Wikidata用户代理头
"Wikidata policy requires a user-agent header. See https://meta.wikimedia.org/wiki/User-Agent_policy. However, at present this policy is not strictly enforced.",Wikidata策略需要用户代理标头。参见https://meta.wikimedia.org/wiki/User-Agent_policy。然而，目前这一政策并没有得到严格执行。
Enable tracing if desired,如果需要，启用跟踪
Three tools are provided for this simple agent:,为这个简单的代理提供了三个工具：
`ItemLookup`: for finding the q-number of an item,“项目查找”：用于查找项目的q号
`PropertyLookup`: for finding the p-number of a property,“属性查找”：用于查找属性的p号
`SparqlQueryRunner`: for running a sparql query,“SparqlQueryRunner”：用于运行sparql查询
Item and Property lookup,项和属性查找
"Item and Property lookup are implemented in a single method, using an elastic search endpoint. Not all wikibase instances have it, but wikidata does, and that's where we'll start.",项和属性查找使用弹性搜索端点在单个方法中实现。不是所有的wikibase实例都有，但是wikidata有，这就是我们要开始的地方。
Sparql runner,Sparql运行程序
"This tool runs sparql - by default, wikidata is used.",这个工具运行sparql——默认情况下，使用wikidata。
Agent,代理
Wrap the tools,把工具包起来
Output parser,输出解析器
This is unchanged from langchain docs,这与langchain文档没有变化
Specify the LLM model,指定LLM模型
Agent and agent executor,代理和代理执行者
Run it!,快跑！
Interacting with APIs,与API交互
[Conceptual Guide](https://docs.langchain.com/docs/use-cases/apis),[概念指南](https://docs.langchain.com/docs/use-cases/API）
Lots of data and information is stored behind APIs. This page covers all resources available in LangChain for working with APIs.,大量的数据和信息存储在API后面。本页涵盖了LangChain中所有可用的API资源。
"If you are just getting started, and you have relatively simple apis, you should get started with chains. Chains are a sequence of predetermined steps, so they are good to get started with as they give you more control and let you  understand what is happening better.",如果你刚刚入门，并且你有相对简单的API，你应该从链开始。链是一系列预先确定的步骤，所以它们是很好的开始，因为它们给你更多的控制，让你更好地理解正在发生的事情。
[API Chain](../modules/chains/examples/api.ipynb),[API链]（../模块/链/示例/api.ipynb）
"Agents are more complex, and involve multiple queries to the LLM to understand what to do. The downside of agents are that you have less control. The upside is that they are more powerful, which allows you to use them on larger and more complex schemas.",代理更加复杂，涉及到对LLM的多个查询，以了解要做什么。代理的缺点是你的控制力较弱。好处是它们更强大，这允许您在更大、更复杂的模式上使用它们。
[OpenAPI Agent](../modules/agents/toolkits/examples/openapi.ipynb),[OpenAPI代理]（../modules/agents/toolkits/examples/openapi.ipynb）
"Autonomous Agents are agents that designed to be more long running. You give them one or multiple long term goals, and they independently execute towards those goals. The applications combine tool usage and long term memory.",自治代理是设计为更长时间运行的代理。你给他们一个或多个长期目标，他们独立地朝着这些目标执行。这些应用程序结合了工具的使用和长期记忆。
"At the moment, Autonomous Agents are fairly experimental and based off of other open-source projects. By implementing these open source projects in LangChain primitives we can get the benefits of LangChain -  easy switching an experimenting with multiple LLMs, usage of different vectorstores as memory,  usage of LangChain's collection of tools.",目前，自主代理是相当实验性的，并且基于其他开源项目。通过在LangChain原语中实现这些开源项目，我们可以获得LangChain的好处——轻松切换和试验多个LLM，使用不同的向量存储作为内存，使用LangChain的工具集。
Baby AGI ([Original Repo](https://github.com/yoheinakajima/babyagi)),Baby AGI([原始回购](https://github.com/yoheinakajima/babyagi)）
[Baby AGI](autonomous_agents/baby_agi.ipynb): a notebook implementing BabyAGI as LLM Chains,[Baby AGI](autonomous_agents/baby_agi.ipynb)：将BabyAGI实现为LLM链的笔记本
"[Baby AGI with Tools](autonomous_agents/baby_agi_with_agent.ipynb): building off the above notebook, this example substitutes in an agent with tools as the execution tools, allowing it to actually take actions.",[Baby AGI with Tools]（autonomous_agents/baby_agi_with_agent.ipynb）：在上面的笔记本基础上，这个示例用一个带有工具的代理作为执行工具，允许它实际执行操作。
AutoGPT ([Original Repo](https://github.com/Significant-Gravitas/Auto-GPT)),AutoGPT([原始回购](https://github.com/significat-gravitas/Auto-GPT)）
[AutoGPT](autonomous_agents/autogpt.ipynb): a notebook implementing AutoGPT in LangChain primitives,[AutoGPT](autonomous_agents/autogpt.ipynb):一个用LangChain原语实现AutoGPT的笔记本
[WebSearch Research Assistant](autonomous_agents/marathon_times.ipynb): a notebook showing how to use AutoGPT plus specific tools to act as research assistant that can use the web.,[WebSearch Research Assistant](autonomous_agents/marathon_times.ipynb):一个笔记本，展示了如何使用AutoGPT和特定工具作为可以使用web的研究助理。
